"model"	"gene.flow.intensity.per.generation"	"simulation.replicate"	"number"	"fit_criteria1"	"fit_criteria2"	"fit_criteria3"	"odds_maxdist"	"odds_avgdist"	"FPR_maxdist"	"FPR_avgdist"	"FNR_maxdist"	"FNR_avgdist"	"FDR_maxdist"	"FDR_avgdist"
"3-way"	"10-5 to 10-4"	6	3	"%+/-2SE (0,1)"	"p>=0.05"	"2. 'trailing' simpler models rejected"	0.0394414878582561	0.0345456737531648	0.000355328719443749	0.000369730337981755	0.999385749385749	0.999767333643555	0.936170212765957	0.978723404255319
"3-way"	"10-5 to 10-4"	7	3	"%+/-2SE (0,1)"	"p>=0.05"	"2. 'trailing' simpler models rejected"	0.0378061554946065	0.0340604882401683	0.000287864128131522	0.000286825164127733	1	1	1	1
"3-way"	"10-5 to 10-4"	8	3	"%+/-2SE (0,1)"	"p>=0.05"	"2. 'trailing' simpler models rejected"	0.0399364628856171	0.0350209853062731	0.000330586508845205	0.000369148791037709	0.998788612961841	0.999770852428964	0.872340425531915	0.978723404255319
"3-way"	"10-5 to 10-4"	9	3	"%+/-2SE (0,1)"	"p>=0.05"	"2. 'trailing' simpler models rejected"	0.046050926525852	0.0409671569615152	0.000332059090320073	0.000330445295184364	0.999120647203658	0.999016328939603	0.891304347826087	0.891304347826087
"3-way"	"10-5 to 10-4"	10	3	"%+/-2SE (0,1)"	"p>=0.05"	"2. 'trailing' simpler models rejected"	0.0405613706612004	0.0347741645533049	0.000322812341115801	0.000337067830888254	0.999005173099881	0.999307639049158	0.888888888888889	0.933333333333333
"4-way"	"10-3 to 10-2"	1	3	"%+/-2SE (0,1)"	"p>=0.05"	"2. 'trailing' simpler models rejected"	0.0122718910049227	0.0113767338341083	4.97240316244841e-05	5.21640634315011e-05	0.995542949756888	0.995414847161572	0.476190476190476	0.5
"4-way"	"10-3 to 10-2"	2	3	"%+/-2SE (0,1)"	"p>=0.05"	"2. 'trailing' simpler models rejected"	0.013128185441302	0.0126090194247056	3.53587141551035e-05	3.78649231973141e-05	0.996537129665256	0.996596596596597	0.4375	0.46875
"4-way"	"10-3 to 10-2"	3	3	"%+/-2SE (0,1)"	"p>=0.05"	"2. 'trailing' simpler models rejected"	0.0167606796792614	0.0168112582452021	7.46135020593327e-05	8.45661755195845e-05	0.995696690903695	0.996301227992307	0.508474576271186	0.576271186440678
"4-way"	"10-3 to 10-2"	4	3	"%+/-2SE (0,1)"	"p>=0.05"	"2. 'trailing' simpler models rejected"	0.0122634636113218	0.0119327039397378	7.98435067268154e-05	7.23345347517554e-05	0.989623601220753	0.98871237458194	0.385542168674699	0.349397590361446
"4-way"	"10-3 to 10-2"	5	3	"%+/-2SE (0,1)"	"p>=0.05"	"2. 'trailing' simpler models rejected"	0.0191754120679002	0.0160871873466158	4.52131801443808e-05	6.76142681131112e-05	0.995677233429395	0.99626400996264	0.352941176470588	0.529411764705882
"4-way"	"10-3 to 10-2"	6	3	"%+/-2SE (0,1)"	"p>=0.05"	"2. 'trailing' simpler models rejected"	0.0127260464952413	0.0119493360222692	5.03304192020615e-05	5.78355910168754e-05	0.993276646232944	0.993476430976431	0.37037037037037	0.425925925925926
"4-way"	"10-3 to 10-2"	7	3	"%+/-2SE (0,1)"	"p>=0.05"	"2. 'trailing' simpler models rejected"	0.0140570157512887	0.0130958980044346	8.42182441486898e-05	9.65117199873298e-05	0.990660792951542	0.990929705215419	0.390804597701149	0.448275862068966
"4-way"	"10-3 to 10-2"	8	3	"%+/-2SE (0,1)"	"p>=0.05"	"2. 'trailing' simpler models rejected"	0.0135593220338983	0.0130762373034551	2.71779413944755e-05	3.21040764768493e-05	0.995444606413994	0.995656279508971	0.305555555555556	0.361111111111111
"4-way"	"10-3 to 10-2"	9	3	"%+/-2SE (0,1)"	"p>=0.05"	"2. 'trailing' simpler models rejected"	0.0168046528228097	0.0148176949416147	3.01609084465624e-05	3.76274630310176e-05	0.998055638647921	0.99830709327916	0.48	0.6
"4-way"	"10-3 to 10-2"	10	3	"%+/-2SE (0,1)"	"p>=0.05"	"2. 'trailing' simpler models rejected"	0.0163281680209104	0.0145484845846755	6.72761386486466e-05	6.21836407277973e-05	0.99435373111552	0.993332193537357	0.421875	0.390625
"4-way"	"10-4 to 10-3"	1	3	"%+/-2SE (0,1)"	"p>=0.05"	"2. 'trailing' simpler models rejected"	0.0157407640902787	0.0147862431756285	0.000126087504728281	0.000115891495327809	0.99871835950016	0.997955358664168	0.862068965517241	0.793103448275862
"4-way"	"10-4 to 10-3"	2	3	"%+/-2SE (0,1)"	"p>=0.05"	"2. 'trailing' simpler models rejected"	0.011042687403545	0.0106388820936282	0.000187291170345065	0.000192208803662451	0.997964721845319	0.998357578601595	0.892857142857143	0.916666666666667
"4-way"	"10-4 to 10-3"	3	3	"%+/-2SE (0,1)"	"p>=0.05"	"2. 'trailing' simpler models rejected"	0.0148920641855662	0.0148215260884675	0.000171287286015014	0.000173757632924589	0.997499583263877	0.997655334114889	0.821428571428571	0.833333333333333
"4-way"	"10-4 to 10-3"	4	3	"%+/-2SE (0,1)"	"p>=0.05"	"2. 'trailing' simpler models rejected"	0.0146183287263449	0.0136304898125365	0.000225286797687393	0.00022000976135263	0.995844155844156	0.995176252319109	0.787610619469027	0.769911504424779
"4-way"	"10-4 to 10-3"	5	3	"%+/-2SE (0,1)"	"p>=0.05"	"2. 'trailing' simpler models rejected"	0.0114937141052715	0.0112641943153678	0.00019982632378772	0.00020471384457533	0.997424339987122	0.997810378804467	0.870967741935484	0.89247311827957
"4-way"	"10-4 to 10-3"	6	3	"%+/-2SE (0,1)"	"p>=0.05"	"2. 'trailing' simpler models rejected"	0.0112978661210172	0.011132841517145	0.000177823248562798	0.000177794231186082	0.998275118585597	0.998249835922118	0.901234567901235	0.901234567901235
"4-way"	"10-4 to 10-3"	7	3	"%+/-2SE (0,1)"	"p>=0.05"	"2. 'trailing' simpler models rejected"	0.0137855059400859	0.0122724386378068	0.000202801667480377	0.000202498987505062	0.996912459135489	0.996536972906906	0.826530612244898	0.826530612244898
"4-way"	"10-4 to 10-3"	8	3	"%+/-2SE (0,1)"	"p>=0.05"	"2. 'trailing' simpler models rejected"	0.0152284643634487	0.0138407529130565	0.000259292778945426	0.000256448560900309	0.997871643745907	0.997481561431912	0.888888888888889	0.88034188034188
"4-way"	"10-4 to 10-3"	9	3	"%+/-2SE (0,1)"	"p>=0.05"	"2. 'trailing' simpler models rejected"	0.0157945265257777	0.0148531254593333	0.000219437690917025	0.000234182118949569	0.997473950110515	0.998322710499832	0.846153846153846	0.903846153846154
"4-way"	"10-4 to 10-3"	10	3	"%+/-2SE (0,1)"	"p>=0.05"	"2. 'trailing' simpler models rejected"	0.0166272903739219	0.0144242781058209	0.000195848507460836	0.000217687613327429	0.99776353063963	0.99897101697822	0.840425531914894	0.936170212765957
"4-way"	"10-5 to 10-2"	1	3	"%+/-2SE (0,1)"	"p>=0.05"	"2. 'trailing' simpler models rejected"	0.0124635712251024	0.0116145925697259	0.000127089861296755	0.00014011949565739	0.994198312236287	0.994910461828464	0.637362637362637	0.703296703296703
"4-way"	"10-5 to 10-2"	2	3	"%+/-2SE (0,1)"	"p>=0.05"	"2. 'trailing' simpler models rejected"	0.0163977836622978	0.0151373047552162	0.000213622911057211	0.000215580467076195	0.995928891301398	0.995742181764792	0.761904761904762	0.76984126984127
"4-way"	"10-5 to 10-2"	3	3	"%+/-2SE (0,1)"	"p>=0.05"	"2. 'trailing' simpler models rejected"	0.0154177773753338	0.0133431485775243	0.000134720587293419	0.000147669467243827	0.994270161867927	0.994383878427486	0.603960396039604	0.663366336633663
"4-way"	"10-5 to 10-2"	4	3	"%+/-2SE (0,1)"	"p>=0.05"	"2. 'trailing' simpler models rejected"	0.0134936266021616	0.0129892721251409	0.000140994628985852	0.000147530298759865	0.996081632653061	0.996440074588913	0.727272727272727	0.761363636363636
