topo_target	topo_source1	topo_source2	nadmix
28_F	28_F	28_F	1
28_G	28_G	28_G	2
28_H	28_H	28_H	0
28_I	28_I	28_I	1
28_J	28_J	28_J	2
28_K	28_K	28_K	2
28_L	28_L	28_L	0
28_M	28_M	28_M	1
29_A	29_A	29_A	1
29_B	29_B	29_B	4
29_C	29_C	29_C	1
29_D	29_D	29_D	0
29_E	29_E	29_E	0
29_F	29_F	29_F	0
29_G	29_G	29_G	1
29_H	29_H	29_H	1
29_I	29_I	29_I	0
29_J	29_J	29_J	0
29_K	29_K	29_K	0
29_L	29_L	29_L	3
29_M	29_M	29_M	0
30_A	30_A	30_A	0
30_B	30_B	30_B	1
30_C	30_C	30_C	0
30_D	30_D	30_D	1
30_E	30_E	30_E	0
30_F	30_F	30_F	2
30_G	30_G	30_G	2
30_H	30_H	30_H	0
30_I	30_I	30_I	4
30_J	30_J	30_J	2
30_K	30_K	30_K	0
30_L	30_L	30_L	0
30_M	30_M	30_M	1
31_A	31_A	31_A	3
31_B	31_B	31_B	0
31_C	31_C	31_C	1
31_D	31_D	31_D	0
31_E	31_E	31_E	0
31_F	31_F	31_F	1
31_G	31_G	31_G	0
31_H	31_H	31_H	1
31_I	31_I	31_I	4
31_J	31_J	31_J	0
31_K	31_K	31_K	1
31_L	31_L	31_L	3
31_M	31_M	31_M	0
32_A	32_A	32_A	2
32_B	32_B	32_B	4
32_C	32_C	32_C	3
32_D	32_D	32_D	3
32_E	32_E	32_E	0
32_F	32_F	32_F	4
32_G	32_G	32_G	1
32_H	32_H	32_H	0
32_I	32_I	32_I	0
32_J	32_J	32_J	1
32_K	32_K	32_K	0
32_L	32_L	32_L	3
32_M	32_M	32_M	1
33_A	33_A	33_A	0
33_B	33_B	33_B	1
33_C	33_C	33_C	0
33_D	33_D	33_D	4
33_E	33_E	33_E	0
33_F	33_F	33_F	2
33_G	33_G	33_G	0
33_H	33_H	33_H	2
33_I	33_I	33_I	2
33_J	33_J	33_J	2
33_K	33_K	33_K	2
33_L	33_L	33_L	0
33_M	33_M	33_M	2
34_A	34_A	34_A	0
34_B	34_B	34_B	0
34_C	34_C	34_C	0
34_D	34_D	34_D	0
34_E	34_E	34_E	0
34_F	34_F	34_F	0
34_G	34_G	34_G	4
34_H	34_H	34_H	0
34_I	34_I	34_I	0
34_J	34_J	34_J	2
34_K	34_K	34_K	4
34_L	34_L	34_L	0
34_M	34_M	34_M	0
35_A	35_A	35_A	1
35_B	35_B	35_B	1
35_C	35_C	35_C	1
35_D	35_D	35_D	0
35_E	35_E	35_E	2
35_F	35_F	35_F	2
35_G	35_G	35_G	1
35_H	35_H	35_H	2
35_I	35_I	35_I	0
35_J	35_J	35_J	1
35_K	35_K	35_K	0
35_L	35_L	35_L	0
35_M	35_M	35_M	0
36_A	36_A	36_A	2
36_B	36_B	36_B	0
36_C	36_C	36_C	1
36_D	36_D	36_D	0
36_E	36_E	36_E	0
36_F	36_F	36_F	1
36_G	36_G	36_G	2
36_H	36_H	36_H	0
36_I	36_I	36_I	0
36_J	36_J	36_J	0
36_K	36_K	36_K	0
36_L	36_L	36_L	2
36_M	36_M	36_M	2
37_A	37_A	37_A	0
37_B	37_B	37_B	4
37_C	37_C	37_C	2
37_D	37_D	37_D	0
37_E	37_E	37_E	1
37_F	37_F	37_F	3
37_G	37_G	37_G	0
37_H	37_H	37_H	0
37_I	37_I	37_I	2
37_J	37_J	37_J	2
37_K	37_K	37_K	2
37_L	37_L	37_L	0
37_M	37_M	37_M	3
38_A	38_A	38_A	0
38_B	38_B	38_B	2
38_C	38_C	38_C	0
38_D	38_D	38_D	0
38_E	38_E	38_E	3
38_F	38_F	38_F	1
38_G	38_G	38_G	0
38_H	38_H	38_H	0
38_I	38_I	38_I	2
38_J	38_J	38_J	2
38_K	38_K	38_K	0
38_L	38_L	38_L	0
38_M	38_M	38_M	1
39_A	39_A	39_A	0
39_B	39_B	39_B	2
39_C	39_C	39_C	0
39_D	39_D	39_D	0
39_E	39_E	39_E	2
39_F	39_F	39_F	0
