topo_target	topo_source1	topo_source2	sampling_time
32_G	32_G	32_G	181
32_H	32_H	32_H	602
32_I	32_I	32_I	280
32_J	32_J	32_J	362
32_K	32_K	32_K	280
32_L	32_L	32_L	92
32_M	32_M	32_M	457
33_A	33_A	33_A	506
33_B	33_B	33_B	89
33_C	33_C	33_C	166
33_D	33_D	33_D	0
33_E	33_E	33_E	373
33_F	33_F	33_F	166
33_G	33_G	33_G	506
33_H	33_H	33_H	89
33_I	33_I	33_I	166
33_J	33_J	33_J	166
33_K	33_K	33_K	166
33_L	33_L	33_L	373
33_M	33_M	33_M	238
34_A	34_A	34_A	540
34_B	34_B	34_B	423
34_C	34_C	34_C	423
34_D	34_D	34_D	375
34_E	34_E	34_E	423
34_F	34_F	34_F	423
34_G	34_G	34_G	197
34_H	34_H	34_H	646
34_I	34_I	34_I	423
34_J	34_J	34_J	197
34_K	34_K	34_K	0
34_L	34_L	34_L	375
34_M	34_M	34_M	375
35_A	35_A	35_A	320
35_B	35_B	35_B	226
35_C	35_C	35_C	177
35_D	35_D	35_D	275
35_E	35_E	35_E	177
35_F	35_F	35_F	0
35_G	35_G	35_G	97
35_H	35_H	35_H	177
35_I	35_I	35_I	320
35_J	35_J	35_J	226
35_K	35_K	35_K	536
35_L	35_L	35_L	97
35_M	35_M	35_M	439
36_A	36_A	36_A	210
36_B	36_B	36_B	528
36_C	36_C	36_C	114
36_D	36_D	36_D	582
36_E	36_E	36_E	431
36_F	36_F	36_F	461
36_G	36_G	36_G	210
36_H	36_H	36_H	431
36_I	36_I	36_I	461
36_J	36_J	36_J	582
36_K	36_K	36_K	210
36_L	36_L	36_L	266
36_M	36_M	36_M	0
37_A	37_A	37_A	295
37_B	37_B	37_B	53
37_C	37_C	37_C	53
37_D	37_D	37_D	106
37_E	37_E	37_E	83
37_F	37_F	37_F	0
37_G	37_G	37_G	217
37_H	37_H	37_H	106
37_I	37_I	37_I	0
37_J	37_J	37_J	0
37_K	37_K	37_K	0
37_L	37_L	37_L	295
37_M	37_M	37_M	53
38_A	38_A	38_A	497
38_B	38_B	38_B	0
38_C	38_C	38_C	183
38_D	38_D	38_D	497
38_E	38_E	38_E	118
38_F	38_F	38_F	423
38_G	38_G	38_G	523
