simulation_replicate	experiment_ID	closest_sources_number_in_experiment	complexity_rotating	closest_sources_number_rotating	p_rotating	complexity_non.rotating	closest_sources_number_non.rotating	p_non.rotating
4	23_31_33_40_41	5	2	2	0.036965153	3	3	0.460619182
4	24_31_33_40_41	5	2	2	0.037661233	3	3	0.082553451
4	23_24_31_40_41	5	2	2	0.037888852	3	3	0.02378449
4	23_24_31_33_41	5	2	2	0.058289943	3	2	0.010009961
1	23_31_33_40_41	5	2	2	0.059984749	2	2	0.385722748
8	23_24_31_33_40	5	2	2	0.14262121	2	1	0.0743775
6	24_31_33_40_41	5	2	2	0.282503411	2	2	0.905432659
6	23_24_33_40_41	5	2	2	0.921086698	2	2	0.965484532
6	23_24_31_33_41	5	2	2	0.924046525	2	2	0.96579074
6	23_24_31_33_40	5	2	2	0.948979936	2	2	0.965320187
6	23_31_33_40_41	5	2	2	0.964083483	2	2	0.965563559
3	23_24_31_33_40	5	3	0	0.905684014	3	3	0.010513464
10	24_31_33_40_41	5	3	2	0.06083848	2	2	0.219309978
2	23_24_31_33_40	5	3	3	0.010891344	2	2	0.01106235
5	23_24_33_40_41	5	3	3	0.011354788	2	2	0.182574158
5	24_31_33_40_41	5	3	3	0.013209294	2	2	0.186093992
7	23_24_31_33_40	5	3	3	0.015818235	3	2	0.017508901
1	23_24_33_40_41	5	3	3	0.01820485	2	2	0.385526303
2	24_31_33_40_41	5	3	3	0.018916999	3	3	0.204627457
9	24_31_33_40_41	5	3	3	0.023290421	2	2	0.029691047
4	23_24_31_33_40	5	3	3	0.025429608	3	3	0.023927904
10	23_24_31_33_40	5	3	3	0.028055175	2	2	0.102996262
5	23_24_31_33_41	5	3	3	0.037076868	3	2	0.059712983
10	23_24_33_40_41	5	3	3	0.042194145	2	2	0.10186947
1	23_24_31_40_41	5	3	3	0.057627583	2	1	0.073624578
8	23_24_31_40_41	5	3	3	0.060014747	2	2	0.54389395
5	23_24_31_40_41	5	3	3	0.061802668	2	2	0.185689132
7	23_24_31_40_41	5	3	3	0.061811899	3	3	0.056908913
7	24_31_33_40_41	5	3	3	0.065317084	3	3	0.091956715
2	23_24_33_40_41	5	3	3	0.087105009	2	2	0.011164066
8	23_31_33_40_41	5	3	3	0.111126285	2	2	0.544363603
8	23_24_31_33_41	5	3	3	0.124706663	2	2	0.544036109
8	24_31_33_40_41	5	3	3	0.133784665	2	2	0.098168124
2	23_31_33_40_41	5	3	3	0.143204247	2	2	0.011091762
7	23_24_31_33_41	5	3	3	0.160240256	3	3	0.05688919
10	23_31_33_40_41	5	3	3	0.219195356	2	1	0.022744067
1	24_31_33_40_41	5	3	3	0.295923299	2	2	0.351525472
2	23_24_31_33_41	5	3	3	0.296849802	3	3	0.835632799
